T20I Match No,Match ID,Match Name,Series ID,Series Name,Match Date,Match Format,Team1 ID,Team1 Name,Team1 Captain,Team1 Runs Scored,Team1 Wickets Fell,Team1 Extras Rec,Team2 ID,Team2 Name,Team2 Captain,Team2 Runs Scored,Team2 Wickets Fell,Team2 Extras Rec,Match Venue (Stadium),Match Venue (City),Match Venue (Country),Umpire 1,Umpire 2,Match Referee,Toss Winner,Toss Winner Choice,Match Winner,Match Result Text,MOM Player,Team1 Playing 11,Team2 Playing 11,Debut Players
1002,1183528,Australia Vs Pakistan 2Nd T20I,1183519,Pakistan in Australia  - 2019 (2019/20),05/11/19,T20,7,Pakistan,Babar Azam,150,6,1,2,Australia,AJ Finch,151,3,5,Manuka Oval,Canberra,Australia,GA Abood,SAJ Craig,J Srinath,Pakistan,bat,Australia,Australia won by 7 wickets (with 9 balls remaining),SPD Smith,"['Babar Azam', 'Fakhar Zaman', 'Haris Sohail', 'Mohammad Rizwan', 'Asif Ali', 'Iftikhar Ahmed', 'Imad Wasim', 'Wahab Riaz', 'Shadab Khan', 'Mohammad Amir', 'Mohammad Irfan']","['DA Warner', 'AJ Finch', 'SPD Smith', 'BR McDermott', 'AJ Turner', 'AT Carey', 'AC Agar', 'PJ Cummins', 'MA Starc', 'KW Richardson', 'A Zampa']",[]
1003,1205260,Malawi Vs Mozambique 1St T20I,1205254,Mozambique in Malawi  - 2019 (2019/20),06/11/19,T20,171,Mozambique,Kaleem Shah,169,5,8,169,Malawi,M Abdulla,170,7,17,Lilongwe Golf Club,Lilongwe,Malawi,EA Chitsondzo,Osman Mhango,,Malawi,bowl,Malawi,Malawi won by 3 wickets (with 0 balls remaining),,"['J Bulele', 'Imran Ismail', 'GF Gomes', 'Kaleem Shah', 'F Damiao Couana', 'JJ Huo', 'FA Cossa', 'SDJJ Dima', 'VE Tembo', 'BA Sambo', 'ZE Matsinhe']","['D Kansonkho', 'Muhammad Khurram', 'MA Baig', 'MIA Patel', 'HH Patel', 'G Kansonkho', 'M Abdulla', 'Usama Master', 'Sami Sohail', 'A Patel', 'M Mwamadi']","['A Patel', 'A Patel', 'BA Sambo', 'BA Sambo', 'D Kansonkho', 'D Kansonkho', 'FA Cossa', 'FA Cossa', 'F Damiao Couana', 'F Damiao Couana', 'G Kansonkho', 'G Kansonkho', 'GF Gomes', 'GF Gomes', 'HH Patel', 'HH Patel', 'Imran Ismail', 'Imran Ismail', 'JJ Huo', 'JJ Huo', 'J Bulele', 'J Bulele', 'Kaleem Shah', 'Kaleem Shah', 'MIA Patel', 'MIA Patel', 'M Mwamadi', 'M Mwamadi', 'MA Baig', 'MA Baig', 'M Abdulla', 'M Abdulla', 'Muhammad Khurram', 'Muhammad Khurram', 'Sami Sohail', 'Sami Sohail', 'SDJJ Dima', 'SDJJ Dima', 'Usama Master', 'Usama Master', 'VE Tembo', 'VE Tembo', 'ZE Matsinhe', 'ZE Matsinhe']"
1004,1205261,Malawi Vs Mozambique 2Nd T20I,1205254,Mozambique in Malawi  - 2019 (2019/20),06/11/19,T20,171,Mozambique,Kaleem Shah,109,10,8,169,Malawi,M Abdulla,114,3,4,Lilongwe Golf Club,Lilongwe,Malawi,EA Chitsondzo,Osman Mhango,,Mozambique,bat,Malawi,Malawi won by 7 wickets (with 46 balls remaining),,"['Imran Ismail', 'J Bulele', 'GF Gomes', 'Kaleem Shah', 'F Damiao Couana', 'FA Cossa', 'JJ Huo', 'VE Tembo', 'SDJJ Dima', 'BA Sambo', 'ZE Matsinhe']","['HH Patel', 'Irfan Bhima', 'Mohammed Nurji', 'MA Baig', 'M Abdulla', 'Sami Sohail', 'G Kansonkho', 'D Kansonkho', 'F Nkhoma', 'MIA Patel', 'Muhammad Khurram']","['F Nkhoma', 'F Nkhoma', 'Irfan Bhima', 'Irfan Bhima', 'Mohammed Nurji', 'Mohammed Nurji']"
1005,1205262,Malawi Vs Mozambique 3Rd T20I,1205254,Mozambique in Malawi  - 2019 (2019/20),07/11/19,T20,169,Malawi,M Abdulla,142,6,13,171,Mozambique,Kaleem Shah,117,10,10,Lilongwe Golf Club,Lilongwe,Malawi,EA Chitsondzo,Osman Mhango,,Mozambique,bowl,Malawi,Malawi won by 25 runs,,"['D Kansonkho', 'HH Patel', 'MA Baig', 'M Abdulla', 'Mohammed Nurji', 'Sami Sohail', 'Usama Master', 'G Kansonkho', 'M Mwamadi', 'C Chete', 'F Nkhoma']","['J Bulele', 'FA Cossa', 'GF Gomes', 'F Damiao Couana', 'Kaleem Shah', 'Imran Ismail', 'JJ Huo', 'L Emilio', 'BA Simango', 'LA Simango', 'ZE Matsinhe']","['BA Simango', 'BA Simango', 'C Chete', 'C Chete', 'L Emilio', 'L Emilio', 'LA Simango', 'LA Simango']"
1006,1205263,Malawi Vs Mozambique 4Th T20I,1205254,Mozambique in Malawi  - 2019 (2019/20),07/11/19,T20,171,Mozambique,Kaleem Shah,144,4,5,169,Malawi,M Abdulla,145,6,8,Lilongwe Golf Club,Lilongwe,Malawi,EA Chitsondzo,Osman Mhango,,Malawi,bowl,Malawi,Malawi won by 4 wickets (with 7 balls remaining),,"['Kaleem Shah', 'Imran Ismail', 'JJ Huo', 'F Damiao Couana', 'J Bulele', 'VE Tembo', 'BA Simango', 'LA Simango', 'ZE Matsinhe', 'L Emilio', 'GF Gomes']","['Irfan Bhima', 'Muhammad Khurram', 'HH Patel', 'D Kansonkho', 'M Abdulla', 'MIA Patel', 'Mohammed Nurji', 'Sami Sohail', 'F Nkhoma', 'Usama Master', 'MA Baig']",[]
1007,1187014,India Vs Bangladesh 2Nd T20I,1186984,Bangladesh in India  - 2019 (2019/20),07/11/19,T20,25,Bangladesh,Mahmudullah,153,6,6,6,India,RG Sharma,154,2,6,Saurashtra Cricket Association Stadium,Rajkot,India,C Shamshuddin,Nitin Menon,RS Madugalle,India,bowl,India,India won by 8 wickets (with 26 balls remaining),RG Sharma,"['Litton Das', 'Mohammad Naim', 'Soumya Sarkar', 'Mushfiqur Rahim', 'Mahmudullah', 'Afif Hossain', 'Mosaddek Hossain', 'Aminul Islam', 'Shafiul Islam', 'Mustafizur Rahman', 'Al-Amin Hossain']","['RG Sharma', 'S Dhawan', 'KL Rahul', 'SS Iyer', 'RR Pant', 'S Dube', 'KH Pandya', 'Washington Sundar', 'YS Chahal', 'DL Chahar', 'KK Ahmed']",[]
1008,1187668,New Zealand Vs England 4Th T20I,1186750,England in New Zealand  - 2019 (2019/20),08/11/19,T20,1,England,EJG Morgan,241,3,8,5,New Zealand,TG Southee,165,10,11,McLean Park,Napier,New Zealand,CB Gaffaney,SB Haig,AJ Pycroft,New Zealand,bowl,England,England won by 76 runs,DJ Malan,"['T Banton', 'JM Bairstow', 'DJ Malan', 'EJG Morgan', 'SW Billings', 'SM Curran', 'L Gregory', 'CJ Jordan', 'TK Curran', 'MW Parkinson', 'PR Brown']","['MJ Guptill', 'C Munro', 'TL Seifert', 'C de Grandhomme', 'LRPL Taylor', 'DJ Mitchell', 'MJ Santner', 'TG Southee', 'IS Sodhi', 'TA Boult', 'BM Tickner']",[]
1009,1183529,Australia Vs Pakistan 3Rd T20I,1183519,Pakistan in Australia  - 2019 (2019/20),08/11/19,T20,7,Pakistan,Babar Azam,106,8,5,2,Australia,AJ Finch,109,0,9,Perth Stadium,Perth,Australia,P Wilson,SJ Nogajski,J Srinath,Australia,bowl,Australia,Australia won by 10 wickets (with 49 balls remaining),SA Abbott,"['Imam-ul-Haq', 'Babar Azam', 'Mohammad Rizwan', 'Haris Sohail', 'Iftikhar Ahmed', 'Khushdil Shah', 'Imad Wasim', 'Shadab Khan', 'Mohammad Amir', 'Mohammad Hasnain', 'Muhammad Musa']","['DA Warner', 'AJ Finch', 'SPD Smith', 'BR McDermott', 'AJ Turner', 'AT Carey', 'AC Agar', 'SA Abbott', 'MA Starc', 'KW Richardson', 'B Stanlake']","['Khushdil Shah', 'Muhammad Musa']"
1010,1205264,Malawi Vs Mozambique 5Th T20I,1205254,Mozambique in Malawi  - 2019 (2019/20),09/11/19,T20,169,Malawi,M Abdulla,142,3,14,171,Mozambique,Kaleem Shah,127,10,20,Indian Sports Club,Blantyre,Malawi,EA Chitsondzo,Osman Mhango,,Mozambique,bowl,Malawi,Malawi won by 15 runs,,"['HH Patel', 'Irfan Bhima', 'Sami Sohail', 'M Abdulla', 'Mohammed Nurji', 'D Kansonkho', 'GM Ntambalika', 'G Kansonkho', 'MA Baig', 'Usama Master', 'Muhammad Khurram']","['Imran Ismail', 'J Bulele', 'Kaleem Shah', 'F Damiao Couana', 'GF Gomes', 'JJ Huo', 'FA Cossa', 'SDJJ Dima', 'L Emilio', 'VE Tembo', 'ZE Matsinhe']","['GM Ntambalika', 'GM Ntambalika']"
1011,1205265,Malawi Vs Mozambique 6Th T20I,1205254,Mozambique in Malawi  - 2019 (2019/20),09/11/19,T20,171,Mozambique,Kaleem Shah,143,7,21,169,Malawi,G Kansonkho,,,,Indian Sports Club,Blantyre,Malawi,EA Chitsondzo,Osman Mhango,,Mozambique,bat,,No result,,"['Imran Ismail', 'F Damiao Couana', 'Kaleem Shah', 'JJ Huo', 'J Bulele', 'VE Tembo', 'FA Cossa', 'L Emilio', 'GF Gomes', 'SDJJ Dima', 'ZE Matsinhe']","['G Kansonkho', 'M Mwamadi', 'D Kansonkho', 'C Chete', 'F Nkhoma', 'Usama Master', 'MA Baig', 'Sami Sohail', 'Mohammed Nurji', 'HH Patel', 'GM Ntambalika']",[]
1012,1187669,New Zealand Vs England 5Th T20I,1186750,England in New Zealand  - 2019 (2019/20),10/11/19,T20,5,New Zealand,TG Southee,146,5,1,1,England,EJG Morgan,146,7,9,Eden Park,Auckland,New Zealand,CB Gaffaney,WR Knights,AJ Pycroft,England,bowl,,Match tied (England won the one-over eliminator),JM Bairstow,"['MJ Guptill', 'C Munro', 'C de Grandhomme', 'TL Seifert', 'JDS Neesham', 'LRPL Taylor', 'MJ Santner', 'IS Sodhi', 'TG Southee', 'TA Boult', 'SC Kuggeleijn']","['T Banton', 'JM Bairstow', 'JM Vince', 'EJG Morgan', 'SM Curran', 'SW Billings', 'L Gregory', 'TK Curran', 'CJ Jordan', 'AU Rashid', 'S Mahmood']",[]
1013,1205266,Malawi Vs Mozambique 7Th T20I,1205254,Mozambique in Malawi  - 2019 (2019/20),10/11/19,T20,171,Mozambique,Kaleem Shah,104,10,11,169,Malawi,G Kansonkho,75,8,16,Saint Andrews International High School,Blantyre,Malawi,EA Chitsondzo,Osman Mhango,,Malawi,bowl,Mozambique,Mozambique won by 11 runs (DLS method),,"['Imran Ismail', 'F Damiao Couana', 'Kaleem Shah', 'JJ Huo', 'J Bulele', 'VE Tembo', 'FA Cossa', 'L Emilio', 'ZE Matsinhe', 'GF Gomes', 'LA Simango']","['D Kansonkho', 'HH Patel', 'MA Baig', 'G Kansonkho', 'A Patel', 'Irfan Bhima', 'Sami Sohail', 'Muhammad Khurram', 'GM Ntambalika', 'Mohammed Nurji', 'Usama Master']",[]
1014,1187015,India Vs Bangladesh 3Rd T20I,1186984,Bangladesh in India  - 2019 (2019/20),10/11/19,T20,6,India,RG Sharma,174,5,2,25,Bangladesh,Mahmudullah,144,10,5,Vidarbha Cricket Association Stadium,Nagpur,India,AK Chaudhary,CK Nandan,RS Madugalle,Bangladesh,bowl,India,India won by 30 runs,DL Chahar,"['RG Sharma', 'S Dhawan', 'KL Rahul', 'SS Iyer', 'RR Pant', 'MK Pandey', 'S Dube', 'Washington Sundar', 'YS Chahal', 'DL Chahar', 'KK Ahmed']","['Litton Das', 'Mohammad Naim', 'Soumya Sarkar', 'Mohammad Mithun', 'Mushfiqur Rahim', 'Mahmudullah', 'Afif Hossain', 'Aminul Islam', 'Shafiul Islam', 'Mustafizur Rahman', 'Al-Amin Hossain']",[]
1015,1193494,Afghanistan Vs West Indies 1St T20I,1193488,West Indies in India  - 2019 (2019/20),14/11/19,T20,4,West Indies,KA Pollard,164,5,5,40,Afghanistan,Rashid Khan,134,9,11,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,Ahmed Shah Durrani,Ahmed Shah Pakteen,BC Broad,Afghanistan,bowl,West Indies,West Indies won by 30 runs,KA Pollard,"['BA King', 'E Lewis', 'SO Hetmyer', 'D Ramdin', 'KA Pollard', 'SE Rutherford', 'FA Allen', 'JO Holder', 'KOK Williams', 'SS Cottrell', 'HR Walsh']","['Hazratullah Zazai', 'Rahmanullah Gurbaz', 'Ibrahim Zadran', 'Asghar Afghan', 'Najibullah Zadran', 'Mohammad Nabi', 'Gulbadin Naib', 'Rashid Khan', 'Fareed Ahmad', 'Naveen-ul-Haq', 'Mujeeb Ur Rahman']","['BA King', 'Ibrahim Zadran']"
1016,1193495,Afghanistan Vs West Indies 2Nd T20I,1193488,West Indies in India  - 2019 (2019/20),16/11/19,T20,40,Afghanistan,Rashid Khan,147,7,9,4,West Indies,KA Pollard,106,8,5,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,Ahmed Shah Durrani,Izatullah Safi,BC Broad,Afghanistan,bat,Afghanistan,Afghanistan won by 41 runs,Karim Janat,"['Hazratullah Zazai', 'Rahmanullah Gurbaz', 'Karim Janat', 'Asghar Afghan', 'Ibrahim Zadran', 'Najibullah Zadran', 'Mohammad Nabi', 'Gulbadin Naib', 'Rashid Khan', 'Naveen-ul-Haq', 'Mujeeb Ur Rahman']","['BA King', 'E Lewis', 'SO Hetmyer', 'SE Rutherford', 'KA Pollard', 'D Ramdin', 'JO Holder', 'KMA Paul', 'HR Walsh', 'KOK Williams', 'SS Cottrell']",[]
1017,1193496,Afghanistan Vs West Indies 3Rd T20I,1193488,West Indies in India  - 2019 (2019/20),17/11/19,T20,40,Afghanistan,Rashid Khan,156,8,15,4,West Indies,KA Pollard,127,7,10,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,Ahmed Shah Pakteen,Izatullah Safi,BC Broad,Afghanistan,bat,Afghanistan,Afghanistan won by 29 runs,Rahmanullah Gurbaz,"['Hazratullah Zazai', 'Rahmanullah Gurbaz', 'Karim Janat', 'Ibrahim Zadran', 'Asghar Afghan', 'Najibullah Zadran', 'Mohammad Nabi', 'Rashid Khan', 'Gulbadin Naib', 'Naveen-ul-Haq', 'Mujeeb Ur Rahman']","['LMP Simmons', 'E Lewis', 'BA King', 'SD Hope', 'SO Hetmyer', 'KA Pollard', 'JO Holder', 'KMA Paul', 'K Pierre', 'SS Cottrell', 'KOK Williams']",[]
1018,1208606,Nepal Vs Bhutan 4Th Match,1208598,"SAG Men's Cricket Bangladesh Under-23s, Bhutan, Maldives, Nepal, Sri Lanka Under-23s in Nepal - 2019 (2019/20)",05/12/19,T20,32,Nepal,G Malla,236,3,17,112,Bhutan,J Singye,95,6,9,Tribhuvan University International Cricket Ground,Kirtipur,Nepal,BB Pradhan,ID Gunawardene,WC Labrooy,Bhutan,bowl,Nepal,Nepal won by 141 runs,G Malla,"['P Khadka', 'G Malla', 'RK Paudel', 'DS Airee', 'Aarif Sheikh', 'P Sarraf', 'LN Rajbanshi', 'Karan KC', 'Rashid Khan', 'S Bhari', 'B Bhandari']","['T Wangchuk jnr', 'T Singye', 'J Singye', 'S Tobgay', 'RM Dorji', 'T Jamtsho', 'U Dorji', 'S Chophel', 'N Chejay', 'J Thinley', 'K Dorji']","['J Singye', 'J Singye', 'J Thinley', 'J Thinley', 'K Dorji', 'K Dorji', 'N Chejay', 'N Chejay', 'RM Dorji', 'RM Dorji', 'Rashid Khan', 'Rashid Khan', 'S Chophel', 'S Chophel', 'S Tobgay', 'S Tobgay', 'T Wangchuk jnr', 'T Wangchuk jnr', 'T Jamtsho', 'T Jamtsho', 'T Singye', 'T Singye', 'U Dorji', 'U Dorji']"
1019,1208609,Nepal Vs Maldives 7Th Match,1208598,"SAG Men's Cricket Bangladesh Under-23s, Bhutan, Maldives, Nepal, Sri Lanka Under-23s in Nepal - 2019 (2019/20)",06/12/19,T20,32,Nepal,G Malla,163,7,7,164,Maldives,Mohamed Mahfooz,79,6,8,Tribhuvan University International Cricket Ground,Kirtipur,Nepal,BB Pradhan,ID Gunawardene,WC Labrooy,Nepal,bat,Nepal,Nepal won by 84 runs,Karan KC,"['P Khadka', 'G Malla', 'Aarif Sheikh', 'DS Airee', 'RK Paudel', 'P Sarraf', 'B Bhandari', 'Karan KC', 'S Bhari', 'A Bohara', 'LN Rajbanshi']","['Mohamed Rishwan', 'Ali Ivan', 'Umar Adam', 'Ahmed Hassan', 'Ibrahim Hassan', 'Ibrahim Rizan', 'Ameel Mauroof', 'Mohamed Azzam', 'Nazwan Ismail', 'L Shafeeg', 'Mohamed Mahfooz']","['Ali Ivan', 'Ali Ivan', 'L Shafeeg', 'L Shafeeg', 'Nazwan Ismail', 'Nazwan Ismail']"
1020,1187018,India Vs West Indies 1St T20I,1186989,West Indies in India  - 2019 (2019/20),06/12/19,T20,4,West Indies,KA Pollard,207,5,6,6,India,V Kohli,209,4,23,Rajiv Gandhi International Stadium,Hyderabad,India,C Shamshuddin,Nitin Menon,DC Boon,India,bowl,India,India won by 6 wickets (with 8 balls remaining),V Kohli,"['LMP Simmons', 'E Lewis', 'BA King', 'SO Hetmyer', 'KA Pollard', 'JO Holder', 'D Ramdin', 'K Pierre', 'KOK Williams', 'SS Cottrell', 'HR Walsh']","['RG Sharma', 'KL Rahul', 'V Kohli', 'RR Pant', 'SS Iyer', 'S Dube', 'RA Jadeja', 'Washington Sundar', 'DL Chahar', 'B Kumar', 'YS Chahal']",[]
1021,1208612,Bhutan Vs Maldives 9Th Match,1208598,"SAG Men's Cricket Bangladesh Under-23s, Bhutan, Maldives, Nepal, Sri Lanka Under-23s in Nepal - 2019 (2019/20)",07/12/19,T20,112,Bhutan,J Singye,117,7,18,164,Maldives,Mohamed Mahfooz,118,2,27,Tribhuvan University International Cricket Ground,Kirtipur,Nepal,BB Pradhan,ID Gunawardene,WC Labrooy,Maldives,bowl,Maldives,Maldives won by 8 wickets (with 29 balls remaining),Ibrahim Hassan,"['T Wangchuk jnr', 'JN Dorji', 'T Jamtsho', 'J Singye', 'S Tobgay', 'T Singye', 'U Dorji', 'K Nima', 'K Loday', 'J Thinley', 'K Dorji']","['Mohamed Rishwan', 'Ahmed Hassan', 'Umar Adam', 'Azyan Farhath', 'Ibrahim Hassan', 'Ibrahim Rizan', 'Ameel Mauroof', 'Mohamed Azzam', 'Nazwan Ismail', 'L Shafeeg', 'Mohamed Mahfooz']","['Azyan Farhath', 'Azyan Farhath', 'JN Dorji', 'JN Dorji', 'K Nima', 'K Nima', 'K Loday', 'K Loday']"
1022,1187019,India Vs West Indies 2Nd T20I,1186989,West Indies in India  - 2019 (2019/20),08/12/19,T20,6,India,V Kohli,170,7,18,4,West Indies,KA Pollard,173,2,5,Greenfield International Stadium,Thiruvananthapuram,India,AK Chaudhary,CK Nandan,DC Boon,West Indies,bowl,West Indies,West Indies won by 8 wickets (with 9 balls remaining),LMP Simmons,"['RG Sharma', 'KL Rahul', 'S Dube', 'V Kohli', 'RR Pant', 'SS Iyer', 'RA Jadeja', 'Washington Sundar', 'DL Chahar', 'B Kumar', 'YS Chahal']","['LMP Simmons', 'E Lewis', 'SO Hetmyer', 'N Pooran', 'BA King', 'KA Pollard', 'JO Holder', 'K Pierre', 'KOK Williams', 'SS Cottrell', 'HR Walsh']",[]
1023,1208613,Nepal Vs Maldives 3Rd Place Play Off,1208598,"SAG Men's Cricket Bangladesh Under-23s, Bhutan, Maldives, Nepal, Sri Lanka Under-23s in Nepal - 2019 (2019/20)",09/12/19,T20,164,Maldives,Mohamed Mahfooz,94,9,5,32,Nepal,G Malla,98,5,2,Tribhuvan University International Cricket Ground,Kirtipur,Nepal,BB Pradhan,ID Gunawardene,WC Labrooy,Nepal,bowl,Nepal,Nepal won by 5 wickets (with 23 balls remaining),LN Rajbanshi,"['Mohamed Rishwan', 'Ahmed Hassan', 'Azyan Farhath', 'Umar Adam', 'Ibrahim Hassan', 'Mohamed Azzam', 'Mohamed Mahfooz', 'Ibrahim Rizan', 'Ameel Mauroof', 'L Shafeeg', 'Nazwan Ismail']","['P Khadka', 'G Malla', 'Aarif Sheikh', 'DS Airee', 'B Bhandari', 'RK Paudel', 'P Sarraf', 'Karan KC', 'S Bhari', 'A Bohara', 'LN Rajbanshi']",[]
1024,1187020,India Vs West Indies 3Rd T20I,1186989,West Indies in India  - 2019 (2019/20),11/12/19,T20,6,India,V Kohli,240,3,8,4,West Indies,KA Pollard,173,8,10,Wankhede Stadium,Mumbai,India,CK Nandan,Nitin Menon,DC Boon,West Indies,bowl,India,India won by 67 runs,KL Rahul,"['RG Sharma', 'KL Rahul', 'RR Pant', 'V Kohli', 'SS Iyer', 'S Dube', 'Washington Sundar', 'Kuldeep Yadav', 'B Kumar', 'Mohammed Shami', 'DL Chahar']","['LMP Simmons', 'BA King', 'SO Hetmyer', 'N Pooran', 'KA Pollard', 'JO Holder', 'HR Walsh', 'K Pierre', 'KOK Williams', 'SS Cottrell', 'E Lewis']",[]
1025,1202242,India Vs Sri Lanka 1St T20I,1202240,Sri Lanka tour of India  - 2020 (2019/20),05/01/20,T20,6,India,V Kohli,,,,8,Sri Lanka,SL Malinga,,,,Barsapara Cricket Stadium,Guwahati,India,AK Chaudhary,Nitin Menon,DC Boon,India,,,No result (abandoned with a toss),,"['S Dhawan', 'KL Rahul', 'V Kohli', 'SS Iyer', 'RR Pant', 'S Dube', 'Washington Sundar', 'SN Thakur', 'Kuldeep Yadav', 'JJ Bumrah', 'NA Saini']","['WIA Fernando', 'MD Gunathilaka', 'MDKJ Perera', 'BOP Fernando', 'PBB Rajapaksa', 'DM de Silva', 'MD Shanaka', 'I Udana', 'PWH de Silva', 'CBRLS Kumara', 'SL Malinga']",[]
1026,1202243,India Vs Sri Lanka 2Nd T20I,1202240,Sri Lanka tour of India  - 2020 (2019/20),07/01/20,T20,8,Sri Lanka,SL Malinga,142,9,6,6,India,V Kohli,144,3,2,Holkar Cricket Stadium,Indore,India,AK Chaudhary,C Shamshuddin,DC Boon,India,bowl,India,India won by 7 wickets (with 15 balls remaining),NA Saini,"['MD Gunathilaka', 'WIA Fernando', 'MDKJ Perera', 'BOP Fernando', 'PBB Rajapaksa', 'MD Shanaka', 'DM de Silva', 'PWH de Silva', 'I Udana', 'SL Malinga', 'CBRLS Kumara']","['KL Rahul', 'S Dhawan', 'SS Iyer', 'V Kohli', 'RR Pant', 'S Dube', 'Washington Sundar', 'SN Thakur', 'Kuldeep Yadav', 'JJ Bumrah', 'NA Saini']",[]
1027,1202244,India Vs Sri Lanka 3Rd T20I,1202240,Sri Lanka tour of India  - 2020 (2019/20),10/01/20,T20,6,India,V Kohli,201,6,6,8,Sri Lanka,SL Malinga,123,10,5,Maharashtra Cricket Association Stadium,Pune,India,Nitin Menon,VK Sharma,DC Boon,Sri Lanka,bowl,India,India won by 78 runs,SN Thakur,"['KL Rahul', 'S Dhawan', 'SV Samson', 'MK Pandey', 'SS Iyer', 'V Kohli', 'Washington Sundar', 'SN Thakur', 'YS Chahal', 'JJ Bumrah', 'NA Saini']","['MD Gunathilaka', 'WIA Fernando', 'MDKJ Perera', 'BOP Fernando', 'AD Mathews', 'DM de Silva', 'MD Shanaka', 'PWH de Silva', 'PADLR Sandakan', 'SL Malinga', 'CBRLS Kumara']",[]
1028,1203676,West Indies Vs Ireland 1St T20I,1203672,Ireland in West Indies  - 2020 (2019/20),15/01/20,T20,29,Ireland,A Balbirnie,208,7,15,4,West Indies,KA Pollard,204,7,9,National Cricket Stadium,St George's,West Indies,GO Brathwaite,PA Gustard,JJ Crowe,Ireland,bat,Ireland,Ireland won by 4 runs,PR Stirling,"['PR Stirling', ""KJ O'Brien"", 'A Balbirnie', 'GJ Delany', 'HT Tector', 'GC Wilson', 'GH Dockrell', 'Simi Singh', 'BJ McCarthy', 'JB Little', 'CA Young']","['LMP Simmons', 'E Lewis', 'SO Hetmyer', 'KA Pollard', 'N Pooran', 'SE Rutherford', 'DJ Bravo', 'HR Walsh', 'K Pierre', 'KOK Williams', 'SS Cottrell']",[]
1029,1203677,West Indies Vs Ireland 2Nd T20I,1203672,Ireland in West Indies  - 2020 (2019/20),18/01/20,T20,29,Ireland,A Balbirnie,147,9,4,4,West Indies,KA Pollard,16,1,0,Warner Park,Basseterre,West Indies,GO Brathwaite,PA Gustard,JJ Crowe,West Indies,bowl,,No result,,"['PR Stirling', ""KJ O'Brien"", 'A Balbirnie', 'GJ Delany', 'HT Tector', 'GC Wilson', 'GH Dockrell', 'Simi Singh', 'BJ McCarthy', 'JB Little', 'CA Young']","['LMP Simmons', 'E Lewis', 'SO Hetmyer', 'KA Pollard', 'N Pooran', 'SE Rutherford', 'DJ Bravo', 'HR Walsh', 'K Pierre', 'SS Cottrell', 'R Shepherd']",['R Shepherd']
1030,1203678,West Indies Vs Ireland 3Rd T20I,1203672,Ireland in West Indies  - 2020 (2019/20),19/01/20,T20,29,Ireland,A Balbirnie,138,10,7,4,West Indies,KA Pollard,140,1,2,Warner Park,Basseterre,West Indies,GO Brathwaite,PA Gustard,JJ Crowe,West Indies,bowl,West Indies,West Indies won by 9 wickets (with 54 balls remaining),LMP Simmons,"['PR Stirling', ""KJ O'Brien"", 'A Balbirnie', 'GJ Delany', 'HT Tector', 'GC Wilson', 'MR Adair', 'Simi Singh', 'BJ McCarthy', 'CA Young', 'JB Little']","['LMP Simmons', 'E Lewis', 'N Pooran', 'SO Hetmyer', 'KA Pollard', 'R Powell', 'SE Rutherford', 'DJ Bravo', 'R Shepherd', 'SS Cottrell', 'HR Walsh']",[]
1031,1187677,New Zealand Vs India 1St T20I,1187674,India in New Zealand  - 2020 (2019/20),24/01/20,T20,5,New Zealand,KS Williamson,203,5,6,6,India,V Kohli,204,4,11,Eden Park,Auckland,New Zealand,CM Brown,SB Haig,BC Broad,India,bowl,India,India won by 6 wickets (with 6 balls remaining),SS Iyer,"['MJ Guptill', 'C Munro', 'KS Williamson', 'C de Grandhomme', 'LRPL Taylor', 'TL Seifert', 'MJ Santner', 'TG Southee', 'IS Sodhi', 'BM Tickner', 'HK Bennett']","['RG Sharma', 'KL Rahul', 'V Kohli', 'SS Iyer', 'S Dube', 'MK Pandey', 'RA Jadeja', 'SN Thakur', 'YS Chahal', 'Mohammed Shami', 'JJ Bumrah']",['HK Bennett']
1032,1213058,Pakistan Vs Bangladesh 1St T20I,1213046,Bangladesh in Pakistan  - 2020 (2019/20),24/01/20,T20,25,Bangladesh,Mahmudullah,141,5,7,7,Pakistan,Babar Azam,142,5,4,Gaddafi Stadium,Lahore,Pakistan,Ahsan Raza,Shozab Raza,RS Madugalle,Bangladesh,bat,Pakistan,Pakistan won by 5 wickets (with 3 balls remaining),Shoaib Malik,"['Tamim Iqbal', 'Mohammad Naim', 'Litton Das', 'Mahmudullah', 'Afif Hossain', 'Soumya Sarkar', 'Mohammad Mithun', 'Aminul Islam', 'Shafiul Islam', 'Mustafizur Rahman', 'Al-Amin Hossain']","['Babar Azam', 'Ahsan Ali', 'Mohammad Hafeez', 'Shoaib Malik', 'Iftikhar Ahmed', 'Imad Wasim', 'Mohammad Rizwan', 'Shadab Khan', 'Shaheen Shah Afridi', 'Haris Rauf', 'Mohammad Hasnain']","['Ahsan Ali', 'Haris Rauf']"
